Product Name,Price,Image URL,Category,Brand
"TCL 32L5A, 32 Inch TV, FHD, HDR Smart TV Supported with Android TV","Rs.300,000.00","Assets/img/Products/TCL 32L5A, 32 Inch TV, FHD, HDR Smart TV Supported with Android TV.webm",LED,TCL
Gree 1 Ton Inverter AC Heat and Cool- Latest Model - GS-12PITH11W - Pular Series,"Rs.23,735.00",Assets/img/Products/Gree 1 Ton Inverter AC Heat and Cool- Latest Model - GS-12PITH11W - Pular Series.webm,Air Conditioner ,Gree
GS-18FITH6C/6S/6G GREE Split Ac 1.5 TON (Inverter)- Fairy Econo Series,"Rs.202,000.00",Assets/img/Products/GS-18FITH6C/6S/6G GREE Split Ac 1.5 TON (Inverter)- Fairy Econo Series.webm,Air Conditioner ,Gree
Gree 1 Ton Inverter AC Heat and Cool- Latest Model - GS-12PITH11W - Pular Series,"Rs.23,735.00",Assets/img/Products/Gree 1 Ton Inverter AC Heat and Cool- Latest Model - GS-12PITH11W - Pular Series.webm,Air Conditioner ,Gree
Gree 2 Ton 24PITH10W Cool Only Inverter Air Conditioner,"Rs.275,000.00",Assets/img/Products/Gree 2 Ton 24PITH10W Cool Only Inverter Air Conditioner.webm,Air Conditioner ,Gree
GREE Split AC 2 TON Fiary (Inverter),"Rs.353,500.00",Assets/img/Products/GREE Split AC 2 TON Fiary (Inverter).webm,Air Conditioner ,Gree
Hisense INVERTER SPLIT AC 18TQ 60HC - 1.5 TON,"Rs.160,000.00",Assets/img/Products/Hisense INVERTER SPLIT AC 18TQ 60HC - 1.5 TON.webm,Air Conditioner ,Hisense 
Hisense INVERTER SPLIT AC 18TG 75HCI 2 TON - Black,"Rs.185,000.00",Assets/img/Products/Hisense INVERTER SPLIT AC 18TG 75HCI 2 TON - Black.webm,Air Conditioner ,Hisense 
Hisense 24FS-CPA 2 Ton Round Shape Cabinet Non Inverter AC,"Rs.300,000.00",Assets/img/Products/Hisense 24FS-CPA 2 Ton Round Shape Cabinet Non Inverter AC.webm,Air Conditioner ,Hisense 
Hisense INVERTER SPLIT AC 24TV 60HC - 2 TON,"Rs.225,000.00",Assets/img/Products/Hisense INVERTER SPLIT AC 24TV 60HC - 2 TON.webm,Air Conditioner ,Hisense 
Kenwood ESupereme Inverter Split Air Conditioners Heat and Cool 1.0 Ton -KET-1246,"Rs.166,650.00",Assets/img/Products/Kenwood ESupereme Inverter Split Air Conditioners Heat and Cool 1.0 Ton -KET-1246.webm,Air Conditioner ,Kenwood 
Kenwood 1 Ton Split AC Upto 75% E-Smart Platinum KES-1261S,"Rs.202,000.00",Assets/img/Products/Kenwood 1 Ton Split AC Upto 75% E-Smart Platinum KES-1261S.webm,Air Conditioner ,Kenwood 
Kenwood 2.0 Ton-KEI-2441 F E IMPERIAL PLUS Non Inverter Heat And Cool Floor Standing Cabinet,"Rs.292,900.00",Assets/img/Products/Kenwood 2.0 Ton-KEI-2441 F E IMPERIAL PLUS Non Inverter Heat And Cool Floor Standing Cabinet.webm,Air Conditioner ,Kenwood 
Kenwood 2.0 TON E Signature Inverter Floor Standing AC Model KEI-2447FHI,"Rs.404,000.00",Assets/img/Products/Kenwood 2.0 TON E Signature Inverter Floor Standing AC Model KEI-2447FHI.webm,Air Conditioner ,Kenwood 
PEL ACE-APEX PRINVO-18K Inverter 1.5 Ton Heat and Cool Split AC,"Rs.188,355.00",Assets/img/Products/PEL ACE-APEX PRINVO-18K Inverter 1.5 Ton Heat and Cool Split AC.webm,Air Conditioner ,Pel 
PEL Floor Standing Inverter Cabinet PFSAC-24K Bold 2.0 Ton,"Rs.354,500.00",Assets/img/Products/PEL Floor Standing Inverter Cabinet PFSAC-24K Bold 2.0 Ton.webm,Air Conditioner ,Pel 
